Ward,Suburb,Property_Code,Park_Name,Node_Id,Node_Name,Item_Id,Item_Type,Item_Description,Latitude,Longitude,Easting,Northing
CENTRAL,BOWEN HILLS,D0087,BOWEN PARK,24063,BOWEN PK FORMAL GARDENS,1617,BUBBLER/DRINKING FOUNTAIN,Drinking Fountain,-27.44909883,153.0292153,502887,6963821
CENTRAL,BOWEN HILLS,D0087,BOWEN PARK,24063,BOWEN PK FORMAL GARDENS,34592,TAP COMBINATION,Bubbler & Tap,-27.44886407,153.0293367,502899,6963847
CENTRAL,BOWEN HILLS,D0087,BOWEN PARK,24063,BOWEN PK FORMAL GARDENS,79343,TAP COMBINATION,Bubbler & Tap,-27.44818678,153.0302473,502989,6963922
CENTRAL,BOWEN HILLS,D1984,JEAYS STREET PARK,12336,BALANCE OF PARK,38056,BUBBLER/DRINKING FOUNTAIN,Diabled access Bubbler,-27.44879023,153.0362079,503578,6963855
CENTRAL,BRISBANE,D0077,FOUNTAIN RESERVE,12597,BALANCE OF PARK,19360,BUBBLER/DRINKING FOUNTAIN,Bubbler,-27.46600807,153.0301813,502982,6961948
CENTRAL,BRISBANE,D0082,ANZAC SQUARE,24044,SHRINE OF REMEMBRANCE,82580,BUBBLER/DRINKING FOUNTAIN,Bubbler,-27.46648731,153.0264669,502615,6961895
CENTRAL,BRISBANE,D0082,ANZAC SQUARE,24044,SHRINE OF REMEMBRANCE,34586,BUBBLER/DRINKING FOUNTAIN,Bowl shaped Drinking Fountain,-27.46635186,153.026639,502632,6961910
CENTRAL,BRISBANE,D0092,KING EDWARD PARK,12634,KING EDWARD PK SCULPTURE PARK,70020,TAP COMBINATION,Bubbler & tap near chess pavement,-27.46579266,153.0236936,502341,6961972
CENTRAL,BRISBANE,D0092,KING EDWARD PARK,12634,KING EDWARD PK SCULPTURE PARK,70023,TAP COMBINATION,Bubbler & anti-vandal tap near Jacobs Ladder,-27.46586476,153.0243717,502408,6961964
CENTRAL,BRISBANE,D0094,EMMA MILLER PLACE,12543,ROMA ST FORUM,83970,TAP COMBINATION,Bubbler & 2 taps,-27.46702984,153.0215583,502130,6961835
CENTRAL,BRISBANE,D0094,EMMA MILLER PLACE,12543,ROMA ST FORUM,83677,TAP COMBINATION,Bubbler & 2 taps,-27.46710196,153.0222162,502195,6961827
